suite,term,model_id,capability_id,capability_level,task_count,task_equal_mase_degradation,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_median_mase_degradation,positive_task_fraction,paired_view_count
gift,medium,toto2.0,common_factor,3,4,-0.025254571311379523,-0.10731869109554076,0.04004694322055423,-0.008491966059152034,0.5,11
gift,medium,toto2.0,common_factor,4,4,-0.022967378587063304,-0.09397555031237914,0.03817930123091463,-0.013105886679725398,0.5,11
gift,medium,toto2.0,common_factor,5,4,-0.0196948854560116,-0.07644517471442834,0.03661003371454008,-0.018283580306115932,0.5,11
gift,medium,toto2.0,cross_series_dependence,1,6,-0.022009233977742796,-0.08058027141099365,0.019313688089999514,-0.001458380017852201,0.5,42
gift,medium,toto2.0,cross_series_dependence,2,6,-0.025349065020854055,-0.0838648401310973,0.018388511949060292,-0.016694685877380377,0.3333333333333333,42
gift,medium,toto2.0,cross_series_dependence,3,6,-0.03817650574616214,-0.09808250246674473,0.009364153426267417,-0.017757357513381748,0.16666666666666666,42
gift,medium,toto2.0,cross_series_dependence,4,6,-0.05061325939281614,-0.10427030972017615,-0.004276094633841044,-0.03514414580796982,0.3333333333333333,42
gift,medium,toto2.0,cross_series_dependence,5,6,-0.05738972171554532,-0.11568930193626337,-0.004144800324918367,-0.04445545510525565,0.16666666666666666,42
gift,short,Chronos-2,common_factor,1,4,0.03901133650826689,0.004662606938582657,0.07336006607795112,0.042163256327971015,0.75,65
gift,short,Chronos-2,common_factor,2,4,0.039649186400404074,0.006921577609158114,0.07237679519165004,0.043232930994727116,0.75,65
gift,short,Chronos-2,common_factor,3,4,0.03714154075471045,0.009152517922931012,0.06513056358648989,0.03881853786895482,0.75,65
gift,short,Chronos-2,common_factor,4,4,0.037524850516225026,0.011474086312984034,0.06357561471946602,0.0410827373874231,0.75,65
gift,short,Chronos-2,common_factor,5,4,0.038144807529111126,0.01102154371403119,0.06345709196563086,0.040909117065296687,0.75,65
gift,short,Chronos-2,covariate_impulse_response,1,6,-0.0009612966001130472,-0.007792332068019235,0.006057609736279383,0.0003971768294654972,0.5,4296
gift,short,Chronos-2,covariate_impulse_response,2,6,-0.0029606927884434455,-0.013990670369168942,0.006940797796270877,0.0005650984932477215,0.6666666666666666,4296
gift,short,Chronos-2,covariate_impulse_response,3,6,-0.0017423277342476964,-0.013592405409428332,0.009895166623709909,0.0011349640511501154,0.6666666666666666,4296
gift,short,Chronos-2,covariate_impulse_response,4,6,-0.0010092283870551347,-0.012662072416735925,0.011022235870332242,0.0015832793285395978,0.6666666666666666,4296
gift,short,Chronos-2,covariate_impulse_response,5,6,0.0006218264582300763,-0.012418051016264224,0.014764718473929404,0.002230560106978691,0.6666666666666666,4296
gift,short,Chronos-2,cross_series_dependence,1,8,0.012734789413913022,0.0008526036018852983,0.027016371474573475,0.006400820142580153,0.625,3538
gift,short,Chronos-2,cross_series_dependence,2,8,0.015243577741855946,-0.0005884391051861258,0.03536032699139376,0.003279156563423698,0.625,3538
gift,short,Chronos-2,cross_series_dependence,3,8,0.01354698268337455,-0.0019894316697983733,0.033702202689297266,0.0002950587294098524,0.5,3538
gift,short,Chronos-2,cross_series_dependence,4,8,0.009028911489774357,-0.0052428834079076975,0.030920980118278926,0.0004985811759270987,0.625,3538
gift,short,Chronos-2,cross_series_dependence,5,8,0.007029277781865878,-0.009966516830391271,0.030487764221555008,-0.00020935642370309491,0.5,3538
gift,short,Timer-4.0,common_factor,1,4,-0.004926179101083117,-0.01319099646224988,0.006809330734022506,-0.009177497222349205,0.25,65
