suite,term,dataset_id,model_id,capability_id,capability_level,paired_view_count,mase_degradation_mean,mase_degradation_median,positive_degradation_fraction,full_input_mase_mean,ablated_input_mase_mean,response_ratio_mean
gift,long,gift_ett2_h,Chronos-2,common_factor,5,3,0.32401180125231593,0.35394916012164557,1.0,1.0752271338848063,1.3992389351371222,0.33863399996808735
gift,long,gift_ett2_h,Chronos-2,cross_series_dependence,1,3,-0.10014312684132447,0.0014990778039902786,0.6666666666666666,0.9403574944563093,0.840214367614985,2.3064331901974904
gift,long,gift_ett2_h,Chronos-2,cross_series_dependence,2,3,-0.12213769316356986,0.00034383016124950316,0.6666666666666666,0.9510569496791508,0.8289192565155811,1.57862573185799
gift,long,gift_ett2_h,Chronos-2,cross_series_dependence,3,3,-0.16098890989539652,-0.004441433796225747,0.3333333333333333,1.0004361827644446,0.8394472728690481,1.1657411124638142
gift,long,gift_ett2_h,Chronos-2,cross_series_dependence,4,3,-0.21229156331694354,-0.021511162975291986,0.3333333333333333,1.088455929114171,0.8761643657972275,0.9159507692501899
gift,long,gift_ett2_h,Chronos-2,cross_series_dependence,5,3,-0.2767239250340673,-0.03252612492537921,0.0,1.219920649898391,0.9431967248643237,0.6835226169435944
gift,long,gift_ett2_h,Timer-4.0,common_factor,1,3,0.04189780799198332,0.0883029045044319,0.6666666666666666,0.9219522644339525,0.9638500724259357,0.5766225015677118
gift,long,gift_ett2_h,Timer-4.0,common_factor,2,3,0.0752053046303273,0.13754923076275838,0.6666666666666666,0.981260480078049,1.0564657847083765,0.4242918987680346
gift,long,gift_ett2_h,Timer-4.0,common_factor,3,3,0.10311540122177798,0.15443271767434297,0.6666666666666666,1.1191804766245539,1.2222958778463318,0.32238080892775506
gift,long,gift_ett2_h,Timer-4.0,common_factor,4,3,0.15223485435087594,0.13268192634024434,0.6666666666666666,1.5254634571230365,1.6776983114739126,0.19833101235807946
gift,long,gift_ett2_h,Timer-4.0,common_factor,5,3,0.17946266464890104,0.06767811918218514,0.6666666666666666,1.9419941739157516,2.1214568385646526,0.1548157307367227
gift,long,gift_ett2_h,Timer-4.0,cross_series_dependence,1,3,-0.040232971727539514,-0.0331378177215238,0.0,0.8304182107783817,0.7901852390508423,1.979415451689082
gift,long,gift_ett2_h,Timer-4.0,cross_series_dependence,2,3,-0.05884720046343905,-0.04431847249349863,0.3333333333333333,0.856901572086938,0.798054371623499,1.4474503325842267
gift,long,gift_ett2_h,Timer-4.0,cross_series_dependence,3,3,-0.06514940169046239,-0.037906224283003276,0.3333333333333333,0.9544832154053151,0.8893338137148527,1.0675902564480257
gift,long,gift_ett2_h,Timer-4.0,cross_series_dependence,4,3,-0.012977393509558769,-0.019508273573198398,0.3333333333333333,1.0929366745348252,1.0799592810252665,0.743196489306388
gift,long,gift_ett2_h,Timer-4.0,cross_series_dependence,5,3,0.0614790420250538,0.014138259759167715,0.6666666666666666,1.2584512506701258,1.3199302926951797,0.5147470589604286
gift,long,gift_ett2_h,toto2.0,common_factor,1,3,-0.04072537390313432,-0.043944287540441884,0.3333333333333333,1.0587107270631566,1.0179853531600223,0.4018350081423734
gift,long,gift_ett2_h,toto2.0,common_factor,2,3,-0.04140078180548623,-0.037062263261633754,0.3333333333333333,1.1287343733249091,1.0873335915194227,0.3113778113164836
gift,long,gift_ett2_h,toto2.0,common_factor,3,3,-0.0447218730998911,-0.03070278615897304,0.3333333333333333,1.2279297451528521,1.183207872052961,0.24599734592397518
