suite,benchmark,horizon_group,model_id,capability_id,capability_level,treatment_mase_task_equal,treatment_mae_task_equal,task_count
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,5,1.680771857,25418.09712,20
FEV-Mini20,FEV-Bench,native,Chronos-2,time_varying_seasonality,1,1.970646495,17241.87727,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,time_varying_seasonality,1,1.896504881,17286.26125,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,time_varying_seasonality,1,1.675910019,15162.17296,20
FEV-Mini20,FEV-Bench,native,moirai2,time_varying_seasonality,1,1.800086565,16243.1808,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,1,1.569012979,14333.82254,20
FEV-Mini20,FEV-Bench,native,tirex2,time_varying_seasonality,1,1.868477507,14443.37173,20
FEV-Mini20,FEV-Bench,native,toto2.0,time_varying_seasonality,1,1.599223882,14491.15498,20
FEV-Mini20,FEV-Bench,native,Chronos-2,time_varying_seasonality,2,2.064615654,18612.54544,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,time_varying_seasonality,2,1.980852449,18635.3114,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,time_varying_seasonality,2,1.738657861,16322.98009,20
FEV-Mini20,FEV-Bench,native,moirai2,time_varying_seasonality,2,1.884688403,17771.54963,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,2,1.63910957,15765.48767,20
FEV-Mini20,FEV-Bench,native,tirex2,time_varying_seasonality,2,1.925965805,15789.79076,20
FEV-Mini20,FEV-Bench,native,toto2.0,time_varying_seasonality,2,1.623016857,15029.74963,20
FEV-Mini20,FEV-Bench,native,Chronos-2,time_varying_seasonality,3,2.171683967,20202.53239,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,time_varying_seasonality,3,2.146143678,20229.60763,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,time_varying_seasonality,3,1.819864416,17849.11957,20
FEV-Mini20,FEV-Bench,native,moirai2,time_varying_seasonality,3,1.989501445,19980.11721,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,3,1.73165698,17424.08055,20
FEV-Mini20,FEV-Bench,native,tirex2,time_varying_seasonality,3,2.027338794,17528.39485,20
FEV-Mini20,FEV-Bench,native,toto2.0,time_varying_seasonality,3,1.652328438,15353.83784,20
FEV-Mini20,FEV-Bench,native,Chronos-2,time_varying_seasonality,4,2.293376897,21850.9133,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,time_varying_seasonality,4,2.24443669,22746.2019,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,time_varying_seasonality,4,1.908085234,19256.67094,20
FEV-Mini20,FEV-Bench,native,moirai2,time_varying_seasonality,4,2.157896909,22434.47642,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,4,1.829110008,19708.12291,20
FEV-Mini20,FEV-Bench,native,tirex2,time_varying_seasonality,4,2.127846113,18684.26889,20
FEV-Mini20,FEV-Bench,native,toto2.0,time_varying_seasonality,4,1.687119026,15590.54509,20
