suite,benchmark,horizon_group,model_id,capability_id,capability_level,task_equal_effect_nrmse,task_equal_effect_correlation,task_equal_effect_amplitude_ratio,task_equal_scoring_coverage,task_count
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,5,0.2639386682,0.5465569257,0.9759996115,0.9975784753,20
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,5,0.1807642404,0.5408162771,0.9642675021,0.9975784753,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,5,0.1876867771,0.4573836326,0.9277598037,0.9975784753,20
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,5,0.2115999135,0.6368943731,1.007846203,0.9975784753,20
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,5,0.1885113332,0.5688654599,0.9583712401,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Chronos-2,time_varying_seasonality,1,1.011531307,0.4894263725,1.278512092,0.9949590141,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,time_varying_seasonality,1,0.9342698959,0.4556549701,1.122480798,0.9949590141,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,time_varying_seasonality,1,1.037971802,0.4705639703,1.253383522,0.9949590141,20
FEV-Mini20,FEV-Bench,native,moirai2,time_varying_seasonality,1,0.9106127158,0.4300048923,1.055040788,0.9949590141,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,1,0.8956822314,0.488366902,1.096076001,0.9949590141,20
