suite,benchmark,horizon_group,model_id,capability_id,capability_level,effect_nrmse_task_equal,effect_nrmse_ci_lower,effect_nrmse_ci_upper,task_count,suite_task_count,task_coverage,cell_rank,cell_winner
FEV-Mini20,FEV-Bench,native,toto2.0,time_varying_seasonality,1,0.9436379083,0.676193965,1.234789929,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,tirex2,time_varying_seasonality,1,0.94584495,0.6512035439,1.288612551,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,time_varying_seasonality,1,1.011531307,0.6754159206,1.372243356,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,time_varying_seasonality,2,0.780496913,0.552579144,1.00819334,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,2,0.8240939742,0.5882799981,1.07353473,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,time_varying_seasonality,2,0.8385242999,0.6110147376,1.083041416,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,moirai2,time_varying_seasonality,2,0.8562067392,0.6391001874,1.079703262,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,tirex2,time_varying_seasonality,2,0.8675932503,0.5927245062,1.196883474,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,time_varying_seasonality,2,0.9091417999,0.6260215394,1.240931029,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,time_varying_seasonality,3,0.6399323168,0.4596996682,0.825185222,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,3,0.7389429839,0.5341781388,0.9670755141,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,time_varying_seasonality,3,0.7558533096,0.5490525713,0.9716311603,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,tirex2,time_varying_seasonality,3,0.7976568127,0.5328019569,1.111001891,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,moirai2,time_varying_seasonality,3,0.7986648506,0.5885306448,1.022450736,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,time_varying_seasonality,3,0.8088574498,0.5575949232,1.118829123,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,time_varying_seasonality,4,0.522841646,0.3760861374,0.6719394913,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,4,0.6445209249,0.466387862,0.8476326573,20,20,1,2,False
